Username,target,semantic_bio_score
kogent,brapse,0.3217487931251526
spgarbet,brapse,0.3208974003791809
nmariz,brapse,0.30161476135253906
lukas,brapse,0.2927264869213104
Heril,brapse,0.2793014645576477
tmpjr,vangberg,0.6821823120117188
michaelbarton,vangberg,0.6449889540672302
dpickett,vangberg,0.6205286979675293
dalsgaard,vangberg,0.6151151061058044
soult,vangberg,0.6151151061058044
Cordobo,jchris,0.45817136764526367
michaelklishin,jchris,0.44451767206192017
danja,jchris,0.43001407384872437
juretta,jchris,0.4269585609436035
zacbrown,jchris,0.4187115430831909
matthewford,robbyrussell,0.66497802734375
mdeering,robbyrussell,0.657477855682373
sunny,robbyrussell,0.6392973065376282
HusseinMorsy,robbyrussell,0.6339586973190308
kad3nce,robbyrussell,0.6285624504089355
philippamarkovics,kommen,0.5023437738418579
ctran,kommen,0.4996612071990967
jlsync,kommen,0.4948660433292389
freeformz,kommen,0.4921411871910095
joonathan,kommen,0.4781021177768707
lukeredpath,protocool,0.7130749225616455
hpopp,protocool,0.6883851289749146
bertoldofonseca,protocool,0.6860323548316956
Machx,protocool,0.6412253379821777
afarnham,protocool,0.6361307501792908
parabuzzle,maddox,0.498353511095047
raymyers,maddox,0.48568522930145264
Floppy,maddox,0.48504674434661865
dayne,maddox,0.47160375118255615
constantine-nikolaou,maddox,0.4689498543739319
Ivor,anildigital,1.0000001192092896
jcartwright,anildigital,0.8054919242858887
solnic,anildigital,0.6922153830528259
slashdotdash,anildigital,0.6814368963241577
bratsche,anildigital,0.6539275646209717
mrdoornbos,bleything,0.4006918668746948
lukec,bleything,0.3867141008377075
samaaron,bleything,0.3831614553928375
damienmckenna,bleything,0.3802952170372009
thewoolleyman,bleything,0.3801318407058716
sbellware,jqr,0.35773223638534546
trey,jqr,0.31523698568344116
lincolnloop,jqr,0.2954113483428955
megalithic,jqr,0.2910851836204529
mightymiracleman,jqr,0.27869969606399536
bryanveloso,hoverbird,0.5978536605834961
kevinfinlayson,hoverbird,0.595003604888916
gerrit,hoverbird,0.5631923079490662
slime73,hoverbird,0.5586450099945068
orderedlist,hoverbird,0.5485460758209229
aredridel,allison-lara,0.7657550573348999
bjc,allison-lara,0.6165714263916016
arthurschreiber,allison-lara,0.592349648475647
imajes,allison-lara,0.583540141582489
kdaigle,allison-lara,0.5815402865409851
akitaonrails,noteflakes,0.6127282381057739
schmidt,noteflakes,0.6034789085388184
arunagw,noteflakes,0.6034789085388184
jeremyevans,noteflakes,0.5758554935455322
jamieorc,noteflakes,0.5628441572189331
rubenlozano,pedromg,1.0
ramon,pedromg,1.0
ariejan,pedromg,1.0
jim,pedromg,1.0
dalsgaard,pedromg,0.8729230165481567
noteflakes,ambethia,0.38743212819099426
countjocular,ambethia,0.3810749053955078
adamwiggins,ambethia,0.37934547662734985
Jabbslad,ambethia,0.36164242029190063
maccman,ambethia,0.3616223633289337
mattetti,halfbyte,0.5108964443206787
wiktorschmidt,halfbyte,0.49624189734458923
seebq,halfbyte,0.4793761968612671
tomtaylor,halfbyte,0.4622674584388733
paulca,halfbyte,0.45822206139564514
steveh,cannikin,0.7374668717384338
derencius,cannikin,0.7137563228607178
jnicklas,cannikin,0.7126554250717163
jaywilliams,cannikin,0.6986830234527588
code-later,cannikin,0.6905592679977417
anthonylewis,anthonylewis,1.0000001192092896
pedromg,anthonylewis,0.6681864261627197
rubenlozano,anthonylewis,0.6681864261627197
ramon,anthonylewis,0.6681864261627197
ariejan,anthonylewis,0.6681864261627197
brapse,mcornick,0.2788617014884949
nmariz,mcornick,0.23043091595172882
dstrelau,mcornick,0.22964884340763092
qrprat77,mcornick,0.21853604912757874
maccman,mcornick,0.2131422460079193
danielmorrison,sco,0.5140452980995178
chris,sco,0.48725834488868713
tomtaylor,sco,0.46654313802719116
pelargir,sco,0.4626189172267914
cavalle,sco,0.4587583541870117
bdc34,norio,0.4255470037460327
georgeguimaraes,norio,0.3997429609298706
anildigital,norio,0.38941287994384766
Ivor,norio,0.38941287994384766
jcartwright,norio,0.38537514209747314
ctran,bumi,0.42091697454452515
benvinegar,bumi,0.3975141644477844
brianleroux,bumi,0.3657742738723755
hassy,bumi,0.35053902864456177
wmorgan,bumi,0.3503516912460327
kwe,talaris,0.3800642788410187
caged,talaris,0.35546380281448364
barryf,talaris,0.344160795211792
seebq,talaris,0.34189915657043457
allison-lara,talaris,0.33437901735305786
tomtaylor,chris,0.7305358648300171
matthewcarriere,chris,0.7199156880378723
freels,chris,0.6269844174385071
frederik,chris,0.6204800605773926
thechrisoshow,chris,0.6080102920532227
kschiess,vic,0.5894493460655212
toke,vic,0.5289249420166016
h3h,vic,0.4975300133228302
jnunemaker,vic,0.49674558639526367
jmettraux,vic,0.49612683057785034
yrashk,ttcremers,0.6225979924201965
hexorx,ttcremers,0.6054534912109375
bertoldofonseca,ttcremers,0.5994685888290405
ntalbott,ttcremers,0.5952380895614624
danhorst,ttcremers,0.5849236249923706
rymai,brupm,0.4256882071495056
apardo,brupm,0.4188652038574219
michaelklishin,brupm,0.40762388706207275
juretta,brupm,0.38943684101104736
justinabrahms,brupm,0.38477474451065063
fabricio,damon,0.4018658697605133
ELLIOTTCABLE,damon,0.32747289538383484
joevandyk,damon,0.32157379388809204
dewitt,damon,0.3147910535335541
entropie,damon,0.3116014301776886
joao,sbusso,0.7041547298431396
plainprogrammer,sbusso,0.619978129863739
davidhq,sbusso,0.6071177124977112
dalsgaard,sbusso,0.6026573181152344
soult,sbusso,0.6026573181152344
bradfitz,raggi,0.5359318256378174
juretta,raggi,0.4848063886165619
chopmo,raggi,0.47832614183425903
megalithic,raggi,0.4773315191268921
willnorris,raggi,0.47051629424095154
soulim,tooky,0.7255016565322876
indrekj,tooky,0.6856429576873779
pedrosanta,tooky,0.6617345809936523
dust3d,tooky,0.6411566734313965
agibralter,tooky,0.6287710666656494
jeresig,gthoppae,0.591802716255188
ebangug,gthoppae,0.5709432363510132
michaeltaras,gthoppae,0.5608364343643188
